OBJECTID,CT20,LABEL,ShapeSTArea,ShapeSTLength
125,115401,1154.01,20505497.2695312,20433.094250902
126,115403,1154.03,7574458.01855469,11112.5969812925
127,115404,1154.04,10260635.4345703,13012.0762599549
128,117101,1171.01,8389682.49023438,11700.7286074944
129,117102,1171.02,11180019.3193359,13727.9866466087
130,117201,1172.01,8520574.34082031,13684.2556368534
131,117202,1172.02,19522776.1621094,18091.2822220003
132,117301,1173.01,14335348.9482422,16182.3755057874
133,117302,1173.02,22083821.5917969,26192.5870153033
134,117303,1173.03,19379948.1787109,18107.4786199202
135,117404,1174.04,19003850.0859375,17700.6526594739
136,117405,1174.05,2172354.12402344,5943.24060922375
137,117407,1174.07,2134618.85742188,5893.74273842568
138,117408,1174.08,4052431.76269531,8246.91611446247
139,117510,1175.10,3606833.3203125,8181.30606053811
140,117520,1175.20,3505710.38769531,7772.56395430891
141,117530,1175.30,5993764.5625,9950.7604449906
142,119001,1190.01,11551196.3740234,13964.9842007957
143,119003,1190.03,9166982.64550781,12879.8929801618
144,119004,1190.04,9143478.71484375,12940.1039618466
145,119201,1192.01,10248164.6474609,12948.1075654388
146,119202,1192.02,10437023.7607422,16864.124326676
147,119310,1193.10,4615163.00585938,10049.0507841201
148,119320,1193.20,5345155.57910156,9352.1331167645
149,119340,1193.40,1314702.02441406,4632.27868164021
150,119341,1193.41,3512711.1796875,8359.54226201369
151,119342,1193.42,2358167.72558594,6104.94540637316
152,119400,1194.00,12071383.0800781,14163.224516252
153,119700,1197.00,14103382.140625,20314.1754953052
154,119801,1198.01,6590353.77148438,11988.802114158
155,119802,1198.02,6778131.05175781,12322.6049986907
156,119900,1199.00,11324965.7646484,14653.142244738
157,120010,1200.10,6087626.43261719,10236.1612152824
158,120020,1200.20,5737369.79882812,12182.6274565444
159,120030,1200.30,4065310.8203125,8102.20708801904
160,120103,1201.03,1490376.19042969,5636.21120401707
161,120104,1201.04,4885243.29101562,10176.5522871564
162,120105,1201.05,5929585.8046875,15758.5905298589
163,120106,1201.06,2220341.08007812,6072.52820832696
164,120107,1201.07,2231008.49414062,6075.28674959795
165,120108,1201.08,4164596.89453125,8449.4842326744
166,120300,1203.00,18498149.9570312,18531.0955684407
167,120400,1204.00,11471575.8339844,17339.8584633607
168,121010,1210.10,21950722.9726562,19497.9106703958
169,121020,1210.20,8874538.57714844,13130.1694065047
170,121101,1211.01,5082880.94042969,10732.4573616308
171,121102,1211.02,81152096.0068359,37632.8664167644
172,121210,1212.10,21817534.9736328,18371.9891274985
173,121221,1212.21,5427461.15039062,11054.1635780522
174,121222,1212.22,14367773.7353516,18211.0704318064
175,121600,1216.00,12264569.0195312,16346.0748588639
176,121801,1218.01,5227512.55566406,10560.213659301
177,121802,1218.02,10232438.8945312,14912.8139010228
178,121900,1219.00,18163072.2949219,20093.9505415094
179,122000,1220.00,35118997.7568359,30499.59222374
180,122120,1221.20,7747578.48535156,13365.7622160773
181,122121,1221.21,4433980.59179688,12008.0444924721
182,122122,1221.22,11114633.3974609,15332.0170298701
183,122200,1222.00,18349521.7744141,19428.0016173799
184,122410,1224.10,7609489.6875,11117.4625056184
185,122420,1224.20,9285646.47949219,12386.8044764553
186,123010,1230.10,10933643.6923828,13636.3943082472
187,123020,1230.20,6088161.97167969,9872.88288864427
188,123103,1231.03,9712010.12109375,13419.0532050245
189,123104,1231.04,8413572.18554688,11537.8647821022
190,123203,1232.03,6324538.125,12755.8729622345
191,123204,1232.04,3489507.86328125,7926.03455976639
192,123205,1232.05,8155654.95898438,11532.5869292108
193,123206,1232.06,6488594.390625,10269.8071475177
194,123301,1233.01,14029676.3828125,17682.863089316
195,123303,1233.03,6817488.24902344,13030.0571627371
196,123304,1233.04,9461746.25097656,13423.346683201
197,123410,1234.10,5350547.04589844,9501.50657660776
198,123420,1234.20,8467590.2265625,14727.1048177992
199,123510,1235.10,8594011.6171875,12270.6737201596
200,123520,1235.20,5498246.87695312,12490.8750552291
201,123601,1236.01,16494226.6318359,18301.2828578181
202,123602,1236.02,9985609.13769531,14187.456703584
203,123700,1237.00,10250472.0390625,13103.9364375054
204,123800,1238.00,13884988.8544922,17448.9974708576
205,123901,1239.01,13897463.0253906,15030.3545512012
206,123902,1239.02,7151226.42675781,11695.197217989
207,124000,1240.00,14531311.7392578,16693.3407116879
208,124102,1241.02,6987656.39355469,10573.0629552005
209,124103,1241.03,3486761.99609375,7921.97772907455
210,124104,1241.04,3492065.21386719,7927.11849709005
211,124105,1241.05,3493113.80859375,7929.03926551028
212,124201,1242.01,10468289.9267578,13209.6382290089
213,124203,1242.03,3490019.01171875,7927.1006452199
214,124204,1242.04,3491073.75878906,7925.26419238158
215,124300,1243.00,9590065.29882812,12560.9080010635
216,124400,1244.00,10500728.1533203,13194.5153476262
217,124500,1245.00,8695824.56835938,14054.8987604727
218,124600,1246.00,12055244.0351562,14291.0482681154
219,124700,1247.00,14659153.1962891,17855.5099676302
220,124902,1249.02,3644289.50585938,8062.46972703722
221,124903,1249.03,3351724.234375,7812.20091687437
222,125101,1251.01,6993797.28027344,10577.5947633525
223,125102,1251.02,6984254.13964844,10570.9067226821
224,125200,1252.00,14032632.2490234,15860.7230760912
225,125310,1253.10,11344368.7998047,19251.0938507664
226,125321,1253.21,2790573.45019531,6882.61422535883
227,125322,1253.22,4016990.46386719,8863.78248782567
228,125402,1254.02,7889271.7109375,11288.354035742
229,125403,1254.03,1811797.30761719,6036.39524198431
230,125404,1254.04,2469661.95703125,8591.64331021327
231,125501,1255.01,4995201.97167969,9227.60363387911
232,125502,1255.02,5628290.5546875,9622.55792101008
233,125600,1256.00,11003262.2363281,14763.8736150678
234,127102,1271.02,9248440.2109375,12299.365030024
235,127103,1271.03,3078754.60058594,7541.24723481974
236,127104,1271.04,7618187.61523438,11271.0613944149
237,127210,1272.10,16590336.4667969,19666.1540846493
238,127220,1272.20,7027601.70605469,10597.7543526294
239,127300,1273.00,11400820.5761719,15057.6559872111
240,127400,1274.00,23481259.3828125,25121.3298375512
241,127520,1275.20,3914727.6328125,7988.03729757942
242,127603,1276.03,4643287.94824219,9725.94419222603
243,127604,1276.04,4677029.41113281,9875.250627238
244,127605,1276.05,6981245.81835938,10568.6411816251
245,127606,1276.06,5852103.90234375,9732.73095121146
246,127711,1277.11,10199768.0263672,13542.4699221711
247,127712,1277.12,6135131.61523438,9824.35699474723
248,127803,1278.03,6897436.31347656,10521.7462718868
249,127804,1278.04,6868353.64746094,10483.5686346615
250,127805,1278.05,6614074.62988281,13204.8272805688
251,127806,1278.06,7352993.19335938,13484.5354971721
252,127910,1279.10,6993754.40722656,10580.3823960557
253,127920,1279.20,6982234.68261719,10569.2063717808
254,128101,1281.01,6984201.74511719,10570.7581505231
255,128102,1281.02,6983275.12011719,10570.6971593579
256,128210,1282.10,5919273.86523438,9764.43827507086
257,128220,1282.20,5979977.10253906,10040.0531732779
258,128302,1283.02,7414485.41210938,12437.5243626808
259,128303,1283.03,4455381.34863281,9765.85929630266
260,128400,1284.00,18576516.5898438,22571.8203362619
261,128500,1285.00,10481214.3867188,13224.6566382437
262,128601,1286.01,7339199.21386719,13840.6277976153
263,128602,1286.02,12209301.9599609,14527.2152803248
264,128703,1287.03,8910739.9609375,11759.0300292084
265,128704,1287.04,8965439.16894531,12103.9478711564
266,128801,1288.01,5296822.22070312,9461.71861854498
267,128802,1288.02,10452953.6015625,13223.9641719577
268,128910,1289.10,14388073.4931641,17404.4230333725
269,131021,1310.21,6053641.29101562,10619.545856568
270,131022,1310.22,5427135.97753906,10054.9697821212
271,131023,1310.23,6339742.68652344,10095.4776541153
272,131024,1310.24,9212622.66503906,12287.1429260577
273,131100,1311.00,11859136.4130859,14177.7720510504
274,131200,1312.00,12145358.9550781,14480.9908774043
275,131300,1313.00,12033304.5166016,14396.2257332288
276,131400,1314.00,11916305.2919922,14307.2213231139
277,131600,1316.00,23580778.1865234,19437.3241925475
278,131701,1317.01,7100111.06347656,10658.5007842773
279,131702,1317.02,7761381.8671875,11155.236635798
280,131801,1318.01,7064102.64453125,10634.0758446833
281,131802,1318.02,7095756.59960938,10655.7989989699
282,131900,1319.00,14188183.7919922,15934.6498012558
283,132001,1320.01,10425781.1064453,13176.7236051981
284,132002,1320.02,17223434.6816406,21045.8260386477
285,132101,1321.01,8723825.91015625,11887.8822875779
286,132102,1321.02,14759855.7871094,18876.3353776075
287,132301,1323.01,6791553.39941406,13146.9816311404
288,132302,1323.02,6970277.96289062,13199.8563542593
289,132501,1325.01,7585902.84082031,11008.2848046916
290,132502,1325.02,6724907.02441406,10978.7455439992
291,132700,1327.00,14222014.8105469,15692.7242065842
292,132900,1329.00,12852276.7197266,18197.0142079188
293,133000,1330.00,10787218.859375,14158.0107359599
294,133101,1331.01,7144927.03613281,10976.4377424531
295,133102,1331.02,9215566.69238281,12061.6513391845
296,134001,1340.01,6280335.42382812,12140.6634443204
297,134002,1340.02,8110430.30175781,13626.2432118502
298,134101,1341.01,11471199.2783203,13966.1252736074
299,134103,1341.03,11307062.9169922,17436.7934762498
300,134104,1341.04,6974297.42773438,10562.5443777477
301,134201,1342.01,15786890.4873047,16455.9515818481
302,134302,1343.02,14066048.5566406,15260.7813374037
303,134303,1343.03,17059177.7773438,17236.4565151357
304,134304,1343.04,10983146.1103516,13572.0932467056
305,134305,1343.05,3848663.90722656,8097.51908169156
306,134306,1343.06,6671301.68359375,10337.9129885415
307,134421,1344.21,22974734.4423828,19313.3328802086
308,134422,1344.22,25274199.9130859,25532.2069075201
309,134423,1344.23,16866286.9589844,18426.9533376394
310,134424,1344.24,39941852.4677734,27350.1613914694
311,134520,1345.20,10410480.7724609,13162.398281199
312,134521,1345.21,3786338.21777344,8186.6708308612
313,134522,1345.22,6622491.89648438,10276.0442684825
314,134710,1347.10,6141778.73242188,9944.81241149783
315,134720,1347.20,10650527.6259766,13301.314080594
316,134801,1348.01,9947561.66503906,13016.0862855096
317,134802,1348.02,10227080.1796875,12886.2454627449
318,134901,1349.01,11430800.7753906,15182.4449119446
319,134904,1349.04,11191145.484375,15680.8405837829
320,134905,1349.05,27841675.5253906,22067.9921877086
321,134906,1349.06,1881279.93652344,7329.32305023833
322,134907,1349.07,4213747.71972656,9405.29686940213
323,135102,1351.02,17958064.6972656,18952.7252001801
324,135111,1351.11,11190476.1425781,13450.5215976556
325,135113,1351.13,6927095.90917969,13080.9626383991
326,135115,1351.15,3589811.84082031,8176.14186344179
327,135116,1351.16,10079453.1328125,13024.3238488742
328,135201,1352.01,16487042.0791016,18595.2000683683
329,135202,1352.02,18971223.8291016,17817.5533084583
